username,business_category_name,follower_count,following_count,is_verified,is_private,highlight_reel_count,external_url,media_count,likes_average_count,comments_average_count
lynetteclz,,70,70,False,False,0,,96,6.583333333333333,1.8333333333333333
vanessasantosm1,,855,208,False,False,0,,763,19.75,0.5833333333333334
thedopechannel,,391,409,False,False,0,,240,318.9166666666667,19.083333333333332
2fool4school,,299,1258,False,False,0,,15,91.33333333333333,9.166666666666666
toe_17,,179,254,False,False,0,,194,34.833333333333336,0.8333333333333334
w.p.s_official,Creators & Celebrities,250,669,False,False,0,,67,37.166666666666664,1.3333333333333333
rkimaging,,12,36,False,True,0,,24,0,0
ayave_eudrime,General Interest,234,404,False,False,0,,194,86.41666666666667,3.8333333333333335
ramon_gonzalez_araujo,,331,274,False,False,2,https://500px.com/ragonar,327,57.5,3.9166666666666665
aerosmith_lovely,,935,1564,False,False,0,,41,169.08333333333334,1.3333333333333333
ashleys__art_,General Interest,206,151,False,False,1,,59,62.166666666666664,5.583333333333333
ecsphotoz,Creators & Celebrities,2149,6664,False,False,0,,969,86.75,5.166666666666667
fernandohgarcia,Creators & Celebrities,2773,4603,False,False,0,http://buenafotopro.ning.com/members/FernandoHGarcia,6598,43.333333333333336,0.6666666666666666
shuntcaesar,,476,490,False,False,4,,117,25.333333333333332,0.4166666666666667
bear_left,,668,2469,False,False,0,,2563,42.25,0.5833333333333334
alexandrosmarkovic,,19,74,False,True,0,,2,0,0
elahasahel,,1132,4353,False,False,0,http://www.xinhua.com/,104,63.25,6.083333333333333
jordanbotev,,128,1399,False,False,0,,30,43.0,2.0833333333333335
ewiczines,,509,792,False,False,1,http://ewic.bigcartel.com/,280,42.0,1.1666666666666667
dacarstudio,General Interest,4177,2838,False,False,3,https://vimeo.com/user47640791,173,131.58333333333334,2.6666666666666665
minegurciner,,777,756,False,False,3,,482,121.16666666666667,3.1666666666666665
tanzblume,,334,1065,False,False,0,,769,52.916666666666664,1.8333333333333333
dnkorpushov,,288,183,False,False,0,,629,37.916666666666664,1.0
luciano_studio_vu_d_un_oeil,,963,1588,False,False,2,http://www.studiovudunoeil.com/,450,91.58333333333333,7.333333333333333
biekedujardin,,197,456,False,False,0,,1143,21.5,0.8333333333333334
